GAge	GSex	GCity	GCity_X	GCity_Y	GState	VFrom	VNights	VPersons	VTypeOfVisit	VPriceRoom	VPriceFood	VPriceDeduction	VPriceTotal	QSatisfaction	QRoom	QFood	QService	QCulture	WTemperature	WSky	XEUR
66	female	Pilsen	13.3771556	49.7490406	CR	7.1.2012	7	2	private	16940	2100	200	18840	low	7	33	21	56	1.6	rain/snow	25.85
30	male	München	11.5836375	48.1364669	Germany	14.1.2012	7	3	private	25410	3150	200	28360	low	6	35	23	56	-10.7	rain/snow	25.44
62	female	Pilsen	13.3771556	49.7490406	CR	14.1.2012	7	3	private	25410	3150	200	28360	low	7	30	40	56	-10.7	rain/snow	25.44
39	male	Pilsen	13.3771556	49.7490406	CR	14.1.2012	7	3	private	25410	0	200	25210	low	38	38	30	1	-10.7	rain/snow	25.44
64	male	Pilsen	13.3771556	49.7490406	CR	14.1.2012	7	3	private	25410	3150	200	28360	low	40	36	23	2	-10.7	rain/snow	25.44
66	female	Hradec Králové	15.8353464	50.2100194	CR	14.1.2012	7	3	private	25410	0	200	25210	low	29	33	14	55	-10.7	rain/snow	25.44
39	male	Wien	16.3736767	48.2115631	Austria	14.1.2012	7	3	private	25410	3150	200	28360	low	32	40	40	71	-10.7	rain/snow	25.44
39	female	Pilsen	13.3771556	49.7490406	CR	14.1.2012	7	3	private	25410	0	200	25210	low	24	26	40	71	-10.7	rain/snow	25.44
22	male	Linz	14.2862742	48.3066489	Austria	21.1.2012	7	3	private	25410	3150	200	28360	average	49	65	56	36	-7.8	sunny	25.47
49	male	Pilsen	13.3771556	49.7490406	CR	21.1.2012	7	2	private	16940	0	200	16740	low	22	26	38	3	-7.8	sunny	25.47
53	male	Jihlava	15.5909008	49.3963828	CR	21.1.2012	7	3	private	25410	3150	200	28360	low	24	24	38	70	-7.8	sunny	25.47
31	male	Linz	14.2862742	48.3066489	Austria	28.1.2012	7	1	private	8470	1050	200	9320	average	60	55	43	46	-2.1	cloudy	25.16
50	male	Linz	14.2862742	48.3066489	Austria	28.1.2012	7	3	private	25410	0	200	25210	average	52	57	59	59	-2.1	cloudy	25.16
21	male	Hradec Králové	15.8353464	50.2100194	CR	1.2.2012	21	3	private	76230	0	200	76030	high	81	91	63	22	2.8	cloudy	25.15
42	male	Bratislava	17.1097606	48.1547933	Slovakia	3.2.2012	2	4	private	9680	1200	200	10680	average	34	56	55	57	0.7	cloudy	25.07
42	female	Linz	14.2862742	48.3066489	Austria	4.2.2012	7	3	private	25410	3150	200	28360	average	28	66	44	48	0.8	sunny	25.07
43	female	Linz	14.2862742	48.3066489	Austria	4.2.2012	7	3	private	25410	3150	200	28360	average	25	51	41	46	0.8	sunny	25.07
56	female	Linz	14.2862742	48.3066489	Austria	4.2.2012	7	3	private	25410	0	200	25210	average	44	43	58	52	0.8	sunny	25.07
28	male	Dresden	13.7397044	51.0497456	Germany	4.2.2012	7	3	private	25410	3150	200	28360	average	42	55	57	52	0.8	sunny	25.07
49	female	Salzburg	13.0475658	47.798095	Austria	4.2.2012	7	2	private	16940	2100	200	18840	average	36	66	44	63	0.8	sunny	25.07
56	female	Linz	14.2862742	48.3066489	Austria	4.2.2012	7	3	private	25410	3150	200	28360	average	42	67	71	50	0.8	sunny	25.07
62	female	Linz	14.2862742	48.3066489	Austria	4.2.2012	7	4	private	33880	4200	200	37880	average	25	66	42	45	0.8	sunny	25.07
71	male	Dresden	13.7397044	51.0497456	Germany	8.2.2012	21	1	private	25410	3150	200	28360	high	90	98	90	52	5	rain/snow	24.8
65	female	Dresden	13.7397044	51.0497456	Germany	10.2.2012	2	4	private	9680	1200	200	10680	average	52	57	45	60	14	rain/snow	25.25
28	female	Praha	14.4212806	50.0874967	CR	10.2.2012	14	3	private	50820	6300	200	56920	low	13	40	37	46	14	rain/snow	25.25
43	male	Salzburg	13.0475658	47.798095	Austria	10.2.2012	7	4	private	33880	4200	200	37880	average	43	42	59	36	14	rain/snow	25.25
